ID,Birth_Date,Current_Location,Sire,Dam,Sex,Event_Type,Date,Location,
78,02/09/1989,WARD SUE,172,2,Male,Birth/Hatch,02/09/1989,OKLAHOM A,
,,,,,,Transfer,22/05/1990,COLO SPRG,
,,,,,,Transfer,28/07/1993,MONROE,
,,,,,,Transfer,21/12/1995,WARD SUE,
,,,,,,GO LTF,29/09/2001,WARD SUE,
79,"01/01/1990
+/- 1 year","BATONRO
UG",UND,UND,Male,Birth/Hatch,"01/01/1990
+/- 1 year","Undetermin
ed",
,,,,,,Transfer,~>01/01/19 90,UNKN0WN,
,,,,,,GO LTF,"01/01/1990
+/- 1 year","UNDETER
MI",
,,,,,,Return from LTF,16/11/1992,P.WHITTER,
,,,,,,Transfer,16/11/1992,BATONRO UG,
,,,,,,Death,10/09/2016,BATONRO UG,
80,28/02/1990,"DES
MOINE",4,24,"Undetermin
ed",Birth/Hatch,28/02/1990,"DES
MOINE",
,,,,,,Death,19/05/1990,DES MOINE,
81,28/02/1990,"DES
MOINE",4,24,"Undetermin
ed",Birth/Hatch,28/02/1990,"DES
MOINE",
,,,,,,Death,19/05/1990,DES MOINE,
82,23/04/1990,"AMAZON
JUNGLE",UND,UND,"Undetermin
ed",Birth/Hatch,23/04/1990,"BUSCH
TAM",
,,,,,,Transfer,06/04/1992,AMAZON JUNGLE,
,,,,,,GO LTF,06/04/1992,AMAZON JUNGLE,
83,23/04/1990,AMAZON JUNGLE,UND,UND,Undetermin ed,Birth/Hatch,23/04/1990,BUSCH TAM,
,,,,,,Transfer,10/05/1990,AMAZON JUNGLE,
,,,,,,GO LTF,10/05/1990,AMAZON JUNGLE,
85,27/04/1990,SWT,UND,UND,Female,Birth/Hatch,27/04/1990,"BUSCH
TAM",
,,,,,,Transfer,13/11/1996,SEAWLD TX,
,,,,,,Transfer,02/11/2003,SWT,
,,,,,,GO LTF,02/11/2003,SWT,
86,01/05/1990,SAN ANTON,11,17,Male,Birth/Hatch,01/05/1990,SAN ANTON,
,,,,,,Death,10/09/1992,"SAN
ANTON",
87,03/05/1990,SAN ANTON,11,17,Male,Birth/Hatch,03/05/1990,SAN ANTON,
,,,,,,Death,19/09/1992,"SAN
ANTON",
88,10/05/1991,BOB TAMMONE,UND,UND,Undetermin ed,Birth/Hatch,10/05/1991,BUSCH TAM,
,,,,,,Transfer,23/06/1993,BOB TAMMONE,
,,,,,,GO LTF,23/06/1993,BOB TAMMONE,
89,06/05/1990,ISSAQUAH,11,17,Female,Birth/Hatch,06/05/1990,"SAN
ANTON",
,,,,,,Transfer,16/03/1992,ISSAQUAH,
,,,,,,Death,21/04/2000,ISSAQUAH,
90,01/01/1991,ST AUGUST,UND,UND,Female,Birth/Hatch,01/01/1991,Undetermin ed,
,,,,,,GO LTF,01/01/1991,UNDETER MI,
,,,,,,"Return from
LTF",01/03/2000,"UNDETER
MI",
,,,,,,Transfer,01/03/2000,ST AUGUST,
,,,,,,Death,15/01/2008,"ST
AUGUST",
91,30/01/1991,SAN ANTON,11,17,Undetermin ed,Birth/Hatch,30/01/1991,SAN ANTON,
,,,,,,Death,21/11/1996,"SAN
ANTON",
92,02/02/1991,SAN ANTON,11,17,Male,Birth/Hatch,02/02/1991,SAN ANTON,
,,,,,,Death,10/09/1992,SAN ANTON,
93,24/02/1991,SAN ANTON,11,17,Male,Birth/Hatch,24/02/1991,SAN ANTON,
,,,,,,Death,29/05/2003,SAN ANTON,
94,12/03/1991,CROWE BOB,173,2,Male,Birth/Hatch,12/03/1991,OKLAHOM A,
,,,,,,Transfer,22/12/1991,"CROWE
BOB",
,,,,,,GO LTF,22/12/1992,CROWE BOB,
