ID,Birth_Date,Current_Location,Sire,Dam,Sex,Event_Type,Date,Location,
311,"11/05/2012
+/- 1 year",COLUMBU S,UND,UND,Male,Birth/Hatch,"11/05/2012
+/- 1 year",Undetermin ed,
,,,,,,Transfer,11/05/2012,COLUMBU S,
312,"09/04/2012
+/- 1 year",COLUMBU S,UND,UND,Female,Birth/Hatch,"09/04/2012
+/- 1 year",Undetermin ed,
,,,,,,Transfer,09/04/2012,"COLUMBU
S",
313,"09/04/2012
+/- 1 year",COLUMBU S,UND,UND,Female,Birth/Hatch,"09/04/2012
+/- 1 year",Undetermin ed,
,,,,,,Transfer,09/04/2012,"COLUMBU
S",
314,28/06/2010,WORLDBIR D,UND,UND,Male,Birth/Hatch,28/06/2010,Undetermin ed,
,,,,,,Transfer,03/11/2010,"WORLDBIR
D",
315,01/07/2010,WORLDBIR D,UND,UND,Male,Birth/Hatch,01/07/2010,Undetermin ed,
,,,,,,Transfer,03/11/2010,"WORLDBIR
D",
316,17/06/2010,WORLDBIR D,UND,UND,Female,Birth/Hatch,17/06/2010,Undetermin ed,
,,,,,,Transfer,22/07/2010,WORLDBIR D,
317,02/06/2010,WORLDBIR D,UND,UND,Female,Birth/Hatch,02/06/2010,Undetermin ed,
,,,,,,Transfer,22/07/2010,"WORLDBIR
D",
318,19/06/2015,BUSCH TAM,31,298,Male,Birth/Hatch,19/06/2015,BUSCH TAM,
319,06/07/2015,"OKLAHOM
A",126,133,Male,Birth/Hatch,06/07/2015,TULSA,
,,,,,,Transfer,29/12/2017,OKLAHOM A,
320,"06/07/2015
+/- 1 month","ATASCADE
R",126,133,"Undetermin
ed",Birth/Hatch,"06/07/2015
+/- 1 month",TULSA,
,,,,,,Transfer,12/05/2018,"ATASCADE
R",
321,19/06/2017,TULSA,126,133,Female,Birth/Hatch,19/06/2017,TULSA,
,,,,,,Death,02/08/2017,TULSA,
322,29/06/2017,"OKLAHOM
A",126,133,Male,Birth/Hatch,29/06/2017,TULSA,
,,,,,,Transfer,21/01/2020,OKLAHOM A,
323,01/09/2015,"Birds N Beasts Inc/BIRDSN
BEA",UND,UND,Female,Birth/Hatch,01/09/2015,Undetermin ed,
,,,,,,GO LTF,01/09/2015,UNDETER MI,
,,,,,,Return from LTF,Undetermin ed,UNDETER MI,
,,,,,,Transfer,Undetermin ed,"Birds N Beasts Inc/BIRDSN
BEA",
,,,,,,Return from LTF,18/05/2016,"Birds N Beasts Inc/BIRDSN
BEA",
,,,,,,Transfer,19/05/2016,LOUISVILL,
,,,,,,Transfer,19/09/2016,"Birds N Beasts Inc/BIRDSN
BEA",
,,,,,,Transfer,11/05/2017,LOUISVILL,
,,,,,,Transfer,05/09/2017,Birds N Beasts Inc/BIRDSN BEA,
324,"19/05/2015
+/- 6 month",Birds N Beasts Inc/BIRDSN BEA,UND,UND,Female,Birth/Hatch,"19/05/2015
+/- 6 month",Undetermin ed,
,,,,,,GO LTF,"19/05/2015
+/- 6 month",UNDETER MI,
Studbook ID,Hatch Date,Current Location,Sire,Dam,Sex Type,Event Type,Date,Location,
,,,,,,"Return from
LTF","Undetermin
ed","UNDETER
MI",
,,,,,,Transfer,Undetermin ed,Birds N Beasts Inc/BIRDSN BEA,
,,,,,,Return from LTF,19/05/2016,"Birds N Beasts Inc/BIRDSN
BEA",
,,,,,,Transfer,19/05/2016,LOUISVILL,
,,,,,,Transfer,19/09/2016,"Birds N Beasts Inc/BIRDSN
BEA",
,,,,,,GO LTF,19/09/2016,"Birds N Beasts Inc/BIRDSN
BEA",
325,12/04/2016,OMAHA,UND,UND,Male,Birth/Hatch,12/04/2016,"Undetermin
ed",
,,,,,,Transfer,17/04/2017,OMAHA,
326,18/07/2016,OMAHA,UND,UND,Undetermin ed,Birth/Hatch,18/07/2016,Undetermin ed,
,,,,,,Transfer,17/04/2017,OMAHA,
327,16/07/2016,OKLAHOM A,126,133,Male,Birth/Hatch,16/07/2016,TULSA,
,,,,,,Transfer,21/01/2020,"OKLAHOM
A",
328,Undetermin ed,WORLDBIR D,UND,UND,Male,Birth/Hatch,Undetermin ed,Undetermin ed,
,,,,,,Transfer,"01/01/1999
+/- 6 month","David and Mary Flom/DFLO
M",
,,,,,,Transfer,22/05/2000,WORLDBIR D,
329,04/02/2012,BATONRO UG,79,21,Male,Birth/Hatch,04/02/2012,BATONRO UG,
330,Undetermin ed,LANDRYSA Q,UND,UND,Male,Birth/Hatch,Undetermin ed,Undetermin ed,
,,,,,,Transfer,Undetermin ed,"Rainforest Cafe -
Galveston/R CAFEGALV",
,,,,,,Transfer,"01/09/2005
+/- 15 day",LANDRYSA Q,
331,01/01/1981,CHATFIEL D,WILD,WILD,Male,Birth/Hatch,01/01/1981,Bolivia / ~,
,,,,,,Wild Capture,Undetermin ed,Bolivia / ~,
,,,,,,Transfer,"Undetermin
ed",LAGES ALB,
,,,,,,Return from LTF,29/08/1984,LAGES ALB,
,,,,,,Transfer,29/08/1984,NATAVPGH,
,,,,,,Transfer,08/03/1985,CHATFIEL D,
,,,,,,Death,20/12/1987,"CHATFIEL
D",
332,"12/07/1988
+/- 15 day",BRZY RIDG,UND,UND,Male,Birth/Hatch,"12/07/1988
+/- 15 day",CHATFIEL D,
,,,,,,Transfer,11/11/1988,"LAKEBUEN
A",
,,,,,,Transfer,07/10/1998,NATAVPGH,
,,,,,,Transfer,06/09/2005,BRZY RIDG,
,,,,,,GO LTF,06/09/2005,BRZY RIDG,
333,28/06/1999,STAFF,332,2,Female,Birth/Hatch,28/06/1999,NATAVPGH,
,,,,,,Transfer,25/08/2021,STAFF,
334,27/08/2000,PARROTTR U,332,2,Male,Birth/Hatch,27/08/2000,NATAVPGH,
,,,,,,Transfer,29/05/2001,PARROTTR U,
,,,,,,GO LTF,29/05/2001,PARROTTR U,
335,29/08/2000,PARROTTR U,332,2,Female,Birth/Hatch,29/08/2000,NATAVPGH,
,,,,,,Transfer,29/05/2001,PARROTTR U,
,,,,,,GO LTF,29/05/2001,PARROTTR U,
336,26/04/2002,BRZY RIDG,332,2,Male,Birth/Hatch,26/04/2002,NATAVPGH,
,,,,,,Transfer,09/02/2005,BRZY RIDG,
,,,,,,GO LTF,09/02/2005,BRZY RIDG,
337,22/06/2002,NATAVPGH,332,2,"Undetermin
ed",Birth/Hatch,22/06/2002,NATAVPGH,
,,,,,,Death,29/06/2002,NATAVPGH,
338,02/07/2002,BRZY RIDG,332,2,Male,Birth/Hatch,02/07/2002,NATAVPGH,
,,,,,,Transfer,09/02/2005,BRZY RIDG,
,,,,,,GO LTF,09/02/2005,BRZY RIDG,
339,07/05/2003,NATAVPGH,332,2,Female,Birth/Hatch,07/05/2003,NATAVPGH,
,,,,,,Death,02/03/2008,NATAVPGH,
340,01/09/2007,"WILD
WRLD",UND,UND,Female,Birth/Hatch,01/09/2007,OLLSON C,
,,,,,,Transfer,15/10/2007,WILD WRLD,
,,,,,,GO LTF,15/10/2007,WILD WRLD,
341,08/07/2010,WILD WRLD,179,170,Female,Birth/Hatch,08/07/2010,WILD WRLD,
,,,,,,GO LTF,08/07/2010,"WILD
WRLD",
342,Undetermin ed,TEMAIKEN,UND,UND,Female,Birth/Hatch,Undetermin ed,Undetermin ed,
,,,,,,Transfer,22/03/2002,TEMAIKEN,
343,"Undetermin
ed",TEMAIKEN,UND,UND,Male,Birth/Hatch,"Undetermin
ed","Undetermin
ed",
,,,,,,Transfer,04/01/2009,TEMAIKEN,
344,02/01/2004,TEMAIKEN,UND,342,Male,Birth/Hatch,02/01/2004,TEMAIKEN,
345,19/10/2012,TEMAIKEN,UND,UND,Undetermin ed,Birth/Hatch,19/10/2012,TEMAIKEN,
346,29/11/2013,TEMAIKEN,UND,UND,Undetermin ed,Birth/Hatch,29/11/2013,TEMAIKEN,
,,,,,,Death,05/06/2021,TEMAIKEN,
347,26/11/2014,TEMAIKEN,UND,UND,Undetermin ed,Birth/Hatch,26/11/2014,TEMAIKEN,
,,,,,,Death,30/06/2022,TEMAIKEN,
348,06/06/2018,TULSA,126,133,Undetermin ed,Birth/Hatch,06/06/2018,TULSA,
,,,,,,Death,20/06/2018,TULSA,
349,06/06/2018,TULSA,126,133,"Undetermin
ed",Birth/Hatch,06/06/2018,TULSA,
,,,,,,Death,20/06/2018,TULSA,
350,17/06/2009,"OKLAHOM
A",31,46,Female,Birth/Hatch,17/06/2009,"BUSCH
TAM",
,,,,,,Transfer,28/03/2010,SEA WORLD,
,,,,,,Transfer,23/10/2015,"SEAWLD
TX",
,,,,,,Transfer,30/05/2019,BUSCH TAM,
,,,,,,Transfer,03/03/2022,"OKLAHOM
A",
351,Undetermin ed,OKLAHOM A,UND,UND,Male,Birth/Hatch,Undetermin ed,FALLBROO K,
,,,,,,Transfer,16/03/2010,SEA WORLD,
,,,,,,Transfer,23/10/2015,SEAWLD TX,
,,,,,,Transfer,30/05/2019,"BUSCH
TAM",
,,,,,,Transfer,03/03/2022,OKLAHOM A,
352,07/07/2018,LINCOLN C,UND,UND,Male,Birth/Hatch,07/07/2018,"Undetermin
ed",
,,,,,,GO LTF,"08/08/2018
+/- 1 month",UNDETER MI,
,,,,,,"Return from
LTF",15/04/2019,"UNDETER
MI",
,,,,,,Transfer,15/04/2019,LINCOLN C,
353,Undetermin ed,ISSAQUAH,UND,UND,Female,Birth/Hatch,Undetermin ed,Undetermin ed,
,,,,,,GO LTF,Undetermin ed,UNDETER MI,
,,,,,,Return from LTF,Undetermin ed,UNDETER MI,
,,,,,,Transfer,Undetermin ed,PRIVATE,
,,,,,,Transfer,02/05/2019,ISSAQUAH,
354,"Undetermin
ed",ISSAQUAH,UND,UND,Male,Birth/Hatch,"Undetermin
ed","Undetermin
ed",
,,,,,,GO LTF,"Undetermin
ed","UNDETER
MI",
,,,,,,Return from LTF,Undetermin ed,UNDETER MI,
,,,,,,Transfer,"Undetermin
ed",PRIVATE,
,,,,,,Transfer,05/02/2019,ISSAQUAH,
355,"~<01/06/20
18",SEDGWICK,UND,UND,Male,Birth/Hatch,"~<01/06/20
18","Indetermina
te",
,,,,,,Transfer,09/03/2022,SEDGWICK,
356,28/06/2012,TULSA,126,133,Male,Birth/Hatch,28/06/2012,TULSA,
,,,,,,Death,06/04/2013,TULSA,
357,10/07/2011,TULSA,126,133,"Undetermin
ed",Birth/Hatch,10/07/2011,TULSA,
,,,,,,Death,10/07/2011,TULSA,
358,22/07/2003,SANFORD,185,186,Undetermin ed,Birth/Hatch,22/07/2003,SANFORD,
,,,,,,Death,30/07/2003,SANFORD,
359,19/07/2003,SANFORD,185,186,Undetermin ed,Birth/Hatch,19/07/2003,SANFORD,
,,,,,,Death,30/07/2003,SANFORD,
360,06/07/2000,SANFORD,185,186,Undetermin ed,Birth/Hatch,06/07/2000,SANFORD,
,,,,,,Death,08/07/2000,SANFORD,
361,17/07/1998,SANFORD,185,186,Undetermin ed,Birth/Hatch,17/07/1998,SANFORD,
,,,,,,Death,20/07/1998,SANFORD,
362,15/07/1998,SANFORD,185,186,"Undetermin
ed",Birth/Hatch,15/07/1998,SANFORD,
,,,,,,Death,21/07/1998,SANFORD,
363,10/07/2018,EL PASO,UND,UND,Female,Birth/Hatch,10/07/2018,Undetermin ed,
,,,,,,Transfer,12/09/2018,WCEB,
,,,,,,Transfer,15/03/2019,EL PASO,
364,10/07/2018,EL PASO,UND,UND,Female,Birth/Hatch,10/07/2018,Undetermin ed,
,,,,,,Transfer,12/09/2018,WCEB,
,,,,,,Transfer,15/03/2019,EL PASO,
365,20/07/2004,MENG T,185,186,"Undetermin
ed",Birth/Hatch,20/07/2004,SANFORD,
,,,,,,Transfer,22/09/2004,MENG T,
366,"~ from 01/01/2000
to 01/01/2004",PRIVATE,UND,UND,Undetermin ed,Birth/Hatch,"~ from 01/01/2000
to 01/01/2004",Undetermin ed,
,,,,,,Transfer,07/06/2020,WILMINGT N,
,,,,,,Transfer,04/09/2020,PRIVATE,
367,"~ from 31/07/1999
to 30/09/1999",HOUSTON,279,280,Male,Birth/Hatch,"~ from 31/07/1999
to 30/09/1999",GALLOWA YB,
,,,,,,Transfer,13/01/2001,HOUSTON,
,,,,,,Death,01/05/2007,HOUSTON,
368,"~ from 31/07/2000
to 30/09/2000",BRZY RIDG,279,280,Female,Birth/Hatch,"~ from 31/07/2000
to 30/09/2000",GALLOWA YB,
,,,,,,Transfer,13/01/2001,HOUSTON,
,,,,,,Transfer,14/03/2006,BRZY RIDG,
369,"~ from 31/07/1997
to 30/09/1997",BRZY RIDG,279,280,Female,Birth/Hatch,"~ from 31/07/1997
to 30/09/1997",GALLOWA YB,
,,,,,,Transfer,13/01/2001,HOUSTON,
,,,,,,Transfer,14/03/2006,BRZY RIDG,
370,27/02/1994,Undetermin ed,279,280,Undetermin ed,Birth/Hatch,27/02/1994,HOUSTON,
,,,,,,Transfer,14/07/1994,LGL ECOL,
,,,,,,GO LTF,31/12/2008,"Undetermin
ed",
371,04/07/1992,HOUSTON,279,280,Undetermin ed,Birth/Hatch,04/07/1992,HOUSTON,
,,,,,,Death,22/07/1992,HOUSTON,
372,09/07/1987,CHATFIEL D,279,280,Undetermin ed,Birth/Hatch,09/07/1987,HOUSTON,
,,,,,,Transfer,27/10/1988,"CHATFIEL
D",
373,06/10/1987,CHATFIEL D,279,280,Male,Birth/Hatch,06/10/1987,HOUSTON,
,,,,,,Transfer,05/06/1988,"CHATFIEL
D",
374,"~ from 31/07/2000
to
30/09/2000",BRZY RIDG,279,280,Male,Birth/Hatch,"~ from 31/07/2000
to
30/09/2000",GALLOWA YB,
,,,,,,Transfer,13/01/2001,HOUSTON,
,,,,,,Transfer,14/03/2006,BRZY RIDG,
375,"~ from 31/07/1998
to 30/09/1998",BRZY RIDG,279,280,Female,Birth/Hatch,"~ from 31/07/1998
to 30/09/1998",GALLOWA YB,
,,,,,,Transfer,13/01/2001,HOUSTON,
,,,,,,Transfer,14/03/2006,BRZY RIDG,
376,30/06/1992,HOUSTON,279,280,Undetermin ed,Birth/Hatch,30/06/1992,HOUSTON,
,,,,,,Death,22/07/1992,HOUSTON,
377,30/06/1992,HOUSTON,279,280,Undetermin ed,Birth/Hatch,30/06/1992,HOUSTON,
,,,,,,Death,30/07/1992,HOUSTON,
378,"~ from 31/07/1995
to 30/09/1995",HOUSTON,279,280,Female,Birth/Hatch,"~ from 31/07/1995
to 30/09/1995",GALLOWA YB,
,,,,,,Transfer,13/01/2001,HOUSTON,
,,,,,,Death,29/06/2001,HOUSTON,
379,18/07/2004,MENG T,185,186,"Undetermin
ed",Birth/Hatch,18/07/2004,SANFORD,
,,,,,,Transfer,22/09/2004,MENG T,
380,15/07/2001,MENG T,185,186,"Undetermin
ed",Birth/Hatch,15/07/2001,SANFORD,
,,,,,,Transfer,02/08/2001,MENG T,
381,13/07/2001,MENG T,185,186,"Undetermin
ed",Birth/Hatch,13/07/2001,SANFORD,
,,,,,,Transfer,02/08/2001,MENG T,
382,11/07/2001,MENG T,185,186,"Undetermin
ed",Birth/Hatch,11/07/2001,SANFORD,
,,,,,,Transfer,02/08/2001,MENG T,
383,27/06/2002,MENG T,185,186,"Undetermin
ed",Birth/Hatch,27/06/2002,SANFORD,
,,,,,,Transfer,18/09/2002,MENG T,
384,15/06/1999,PRIVATE,185,186,Undetermin ed,Birth/Hatch,15/06/1999,SANFORD,
,,,,,,Transfer,08/07/1999,PRIVATE,
385,18/06/1999,SANFORD,185,186,Undetermin ed,Birth/Hatch,18/06/1999,SANFORD,
,,,,,,Death,22/06/1999,SANFORD,
386,28/06/2002,SANFORD,185,186,Undetermin ed,Birth/Hatch,28/06/2002,SANFORD,
,,,,,,Death,08/07/2002,SANFORD,
387,07/07/1998,MENG T,185,186,"Undetermin
ed",Birth/Hatch,07/07/1998,SANFORD,
,,,,,,Transfer,01/10/1998,MENG T,
388,22/06/1991,ALENTADO,185,186,"Undetermin
ed",Birth/Hatch,22/06/1991,SANFORD,
,,,,,,Transfer,28/10/1991,ALENTADO,
389,11/05/1998,MENG T,185,186,Undetermin ed,Birth/Hatch,11/05/1998,SANFORD,
,,,,,,Transfer,20/12/1998,MENG T,
390,24/02/1994,Undetermin ed,279,280,Undetermin ed,Birth/Hatch,24/02/1994,HOUSTON,
,,,,,,Transfer,14/07/1994,LGL ECOL,
,,,,,,GO LTF,31/12/2008,"Undetermin
ed",
391,05/08/1992,PRIVATE,185,186,Male,Birth/Hatch,05/08/1992,SANFORD,
,,,,,,Transfer,04/06/1993,PRIVATE,
392,07/08/1992,PRIVATE,185,186,Female,Birth/Hatch,07/08/1992,SANFORD,
,,,,,,Transfer,04/06/1993,PRIVATE,
393,26/06/2000,PRIVATE,185,186,Undetermin ed,Birth/Hatch,26/06/2000,SANFORD,
,,,,,,Transfer,20/07/2000,PRIVATE,
394,31/05/1991,KALENAK,279,280,Female,Birth/Hatch,31/05/1991,BERRY BOB,
,,,,,,Transfer,01/10/1991,HOUSTON,
,,,,,,Transfer,17/03/1992,KALENAK,
,,,,,,GO LTF,17/03/1992,KALENAK,
395,12/06/1999,PRIVATE,UND,186,Undetermin ed,Birth/Hatch,12/06/1999,SANFORD,
,,,,,,Transfer,08/07/1999,PRIVATE,
396,09/06/1999,PRIVATE,185,186,Undetermin ed,Birth/Hatch,09/06/1999,SANFORD,
,,,,,,Transfer,08/07/1999,PRIVATE,
397,13/05/1998,PRIVATE,185,186,Undetermin ed,Birth/Hatch,13/05/1998,SANFORD,
,,,,,,Transfer,25/02/1999,PRIVATE,
398,07/05/1998,MENG T,185,186,Undetermin ed,Birth/Hatch,07/05/1998,SANFORD,
,,,,,,Transfer,20/12/1998,MENG T,
399,28/07/1997,PRIVATE,185,186,Undetermin ed,Birth/Hatch,28/07/1997,SANFORD,
,,,,,,Transfer,07/08/1997,PRIVATE,
400,26/07/1997,PRIVATE,185,186,Undetermin ed,Birth/Hatch,26/07/1997,SANFORD,
,,,,,,Transfer,07/08/1997,PRIVATE,
401,13/07/1996,MANN J,185,186,"Undetermin
ed",Birth/Hatch,13/07/1996,SANFORD,
,,,,,,Transfer,14/08/1996,MANN J,
402,10/07/1996,MANN J,185,186,"Undetermin
ed",Birth/Hatch,10/07/1996,SANFORD,
,,,,,,Transfer,14/08/1996,MANN J,
403,22/02/1994,Undetermin ed,279,280,Undetermin ed,Birth/Hatch,22/02/1994,HOUSTON,
,,,,,,Transfer,14/07/1994,LGL ECOL,
,,,,,,GO LTF,31/12/2008,Undetermin ed,
404,20/02/1994,"Undetermin
ed",279,280,"Undetermin
ed",Birth/Hatch,20/02/1994,HOUSTON,
,,,,,,Transfer,14/07/1994,LGL ECOL,
,,,,,,GO LTF,31/12/2008,Undetermin ed,
405,01/10/1995,PRIVATE,UND,10,Female,Birth/Hatch,01/10/1995,PRIVATE,
406,04/07/1996,MANN J,185,186,Undetermin ed,Birth/Hatch,04/07/1996,SANFORD,
,,,,,,Transfer,14/08/1996,MANN J,
407,19/07/1995,MANN J,185,186,Undetermin ed,Birth/Hatch,19/07/1995,SANFORD,
,,,,,,Transfer,04/08/1995,MANN J,
408,17/07/1995,MANN J,185,186,Undetermin ed,Birth/Hatch,17/07/1995,SANFORD,
,,,,,,Transfer,04/08/1995,MANN J,
409,15/07/1995,MANN J,185,186,Undetermin ed,Birth/Hatch,15/07/1995,SANFORD,
,,,,,,Transfer,04/08/1995,MANN J,
410,21/06/1994,MANN J,185,186,Undetermin ed,Birth/Hatch,21/06/1994,SANFORD,
,,,,,,Transfer,07/07/1994,MANN J,
411,20/06/1994,MANN J,185,186,Undetermin ed,Birth/Hatch,20/06/1994,SANFORD,
,,,,,,Transfer,07/07/1994,MANN J,
412,19/06/1994,MANN J,185,186,Undetermin ed,Birth/Hatch,19/06/1994,SANFORD,
,,,,,,Transfer,07/07/1994,MANN J,
413,30/06/1991,UNKN0WN,41,40,"Undetermin
ed",Birth/Hatch,30/06/1991,LUBEE,
,,,,,,Transfer,28/04/1992,UNKNOWN,
,,,,,,GO LTF,28/04/1992,UNKN0WN,
414,26/06/1991,ALENTADO,185,186,Undetermin ed,Birth/Hatch,26/06/1991,SANFORD,
,,,,,,Transfer,28/10/1991,ALENTADO,
415,24/06/1991,ALENTADO,185,186,Undetermin ed,Birth/Hatch,24/06/1991,SANFORD,
,,,,,,Transfer,28/10/1991,ALENTADO,
416,27/05/1991,UNKNOWN,39,38,Undetermin ed,Birth/Hatch,27/05/1991,LUBEE,
,,,,,,Transfer,28/04/1992,UNKNOWN,
,,,,,,GO LTF,28/04/1992,UNKNOWN,
417,25/05/1991,Undetermin ed,39,38,Undetermin ed,Birth/Hatch,25/05/1991,LUBEE,
,,,,,,Transfer,28/04/1992,UNKNOWN,
,,,,,,GO LTF,28/04/1992,Undetermin ed,
418,24/05/1991,"Undetermin
ed",39,38,"Undetermin
ed",Birth/Hatch,24/05/1991,LUBEE,
,,,,,,Transfer,28/04/1992,UNKNOWN,
,,,,,,GO LTF,28/04/1992,Undetermin ed,
419,06/10/1987,VELDHOVE N,279,280,Female,Birth/Hatch,06/10/1987,HOUSTON,
,,,,,,Transfer,10/04/1989,V.D.BRINK,
,,,,,,Transfer,11/11/1998,"VELDHOVE
N",
420,Undetermin ed,CHATFIEL D,279,280,Undetermin ed,Birth/Hatch,Undetermin ed,HOUSTON,
,,,,,,Transfer,22/07/1987,CHATFIEL D,
421,Undetermin ed,CHATFIEL D,279,280,Undetermin ed,Birth/Hatch,Undetermin ed,HOUSTON,
,,,,,,Transfer,22/07/1987,"CHATFIEL
D",
422,Undetermin ed,CHATFIEL D,279,280,Undetermin ed,Birth/Hatch,Undetermin ed,HOUSTON,
,,,,,,Transfer,22/07/1987,"CHATFIEL
D",
423,Undetermin ed,WORLDBIR D,UND,UND,Undetermin ed,Birth/Hatch,Undetermin ed,UNKNOWN,
,,,,,,Transfer,11/05/2008,BRIDGEPR T,
,,,,,,Transfer,03/09/2008,WORLDBIR D,
424,08/03/2005,"ADVENTUR
E",UND,UND,Male,Birth/Hatch,08/03/2005,PRIVATE,
,,,,,,Transfer,15/12/2006,ADVENTUR E,
425,"Undetermin
ed",HAWLEY J,WILD,WILD,Female,Birth/Hatch,"Undetermin
ed",Bolivia / ~,
,,,,,,Wild Capture,Undetermin ed,Bolivia,
,,,,,,Transfer,09/01/1986,"WILD
WRLD",
,,,,,,Transfer,24/11/1992,HAWLEY J,
426,09/07/1998,MENG T,185,186,Undetermin ed,Birth/Hatch,09/07/1998,SANFORD,
,,,,,,Transfer,01/10/1998,MENG T,
427,30/07/1997,UNKN0WN,185,186,Undetermin ed,Birth/Hatch,30/07/1997,SANFORD,
,,,,,,Transfer,07/08/1997,UNKN0WN,
428,11/05/1991,PRIVATE,UND,UND,"Undetermin
ed",Birth/Hatch,11/05/1991,"BUSCH
TAM",
,,,,,,Transfer,23/06/1993,PRIVATE,
429,06/05/1998,MENG T,185,186,Undetermin ed,Birth/Hatch,06/05/1998,SANFORD,
,,,,,,Transfer,20/12/1998,MENG T,
430,08/07/1996,MANN J,185,186,"Undetermin
ed",Birth/Hatch,08/07/1996,SANFORD,
,,,,,,Transfer,14/08/1996,MANN J,
431,25/07/2003,MENG T,185,186,Undetermin ed,Birth/Hatch,25/07/2003,SANFORD,
,,,,,,Transfer,03/09/2003,MENG T,
432,05/07/1996,MANN J,185,186,Undetermin ed,Birth/Hatch,05/07/1996,SANFORD,
,,,,,,Transfer,14/08/1996,MANN J,
433,29/06/2000,PRIVATE,185,186,Undetermin ed,Birth/Hatch,29/06/2000,SANFORD,
,,,,,,Transfer,20/07/2000,PRIVATE,
434,17/05/1992,BUSCH TAM,UND,UND,Undetermin ed,Birth/Hatch,17/05/1992,BUSCH TAM,
,,,,,,Death,22/05/1992,BUSCH TAM,
435,11/07/1998,MENG T,185,186,Undetermin ed,Birth/Hatch,11/07/1998,SANFORD,
,,,,,,Transfer,01/10/1998,MENG T,
