ID,Current_Location,Sex,Birth_Date,Sire,Dam,Event_Type,Date,Location
1062,CINCINNAT,Undetermined,15-Aug-89,1032,1036,Birth/Hatch,15-Aug-89,CINCINNAT
,,,,,,Death,15-Aug-89,CINCINNAT
1063,CINCINNAT,Female,17-Jan-90,1041,1040,Birth/Hatch,17-Jan-90,PHILADELP
,,,,,,Transfer,20-Feb-97,CINCINNAT
,,,,,,Death,16-Apr-04,CINCINNAT
1064,SEATTLE,Male,17-Jan-90,1041,1040,Birth/Hatch,17-Jan-90,PHILADELP
,,,,,,Transfer,13-Jun-91,SEATTLE
,,,,,,Death,1-Dec-02,SEATTLE
1065,CLEVELAND,Male,24-Mar-90,1016,1019,Birth/Hatch,24-Mar-90,SANDIEGOZ
,,,,,,Transfer,19-Jul-02,CLEVELAND
,,,,,,Death,16-Feb-09,CLEVELAND
1066,CHICAGOBR,Male,6-Apr-90,1045,1046,Birth/Hatch,6-Apr-90,HOUSTON
,,,,,,Transfer,23-May-97,CHICAGOBR
,,,,,,Death,24-Apr-98,CHICAGOBR
1067,HOUSTON,Female,6-Apr-90,1045,1046,Birth/Hatch,6-Apr-90,HOUSTON
,,,,,,Death,19-Dec-99,HOUSTON
1068,PAIGNTON,Male,15-Jun-90,1051,1054,Birth/Hatch,15-Jun-90,CHICAGOBR
,,,,,,Transfer,10-Nov-93,PAIGNTON
,,,,,,Transfer,26-May-94,SHALDON
,,,,,,Transfer,29-Mar-95,PAIGNTON
,,,,,,Death,12-Dec-02,PAIGNTON
1069,CHICAGOBR,Male,15-Jun-90,1051,1054,Birth/Hatch,15-Jun-90,CHICAGOBR
,,,,,,Death,16-Jun-90,CHICAGOBR
1070,DUKE PRIM,Male,30-Jun-90,1023,1010,Birth/Hatch,30-Jun-90,DUKE PRIM
,,,,,,Death,5-Jul-90,DUKE PRIM
1071,DUKE PRIM,Female,17-Aug-90,1022,1008,Birth/Hatch,17-Aug-90,DUKE PRIM
,,,,,,Death,18-Aug-90,DUKE PRIM
1072,PAIGNTON,Male,9-Mar-91,1023,1010,Birth/Hatch,9-Mar-91,DUKE PRIM
,,,,,,Transfer,3-Nov-93,PAIGNTON
,,,,,,Death,7-Sep-02,PAIGNTON
1073,DUKE PRIM,Male,9-Mar-91,1023,1010,Birth/Hatch,9-Mar-91,DUKE PRIM
,,,,,,Death,22-Nov-92,DUKE PRIM
1074,CLEVELAND,Male,13-Apr-91,1041,1040,Birth/Hatch,13-Apr-91,PHILADELP
,,,,,,Transfer,28-Apr-93,CLEVELAND
,,,,,,Death,16-May-93,CLEVELAND
1075,CLEVELAND,Male,13-Apr-91,1041,1040,Birth/Hatch,13-Apr-91,PHILADELP
,,,,,,Transfer,28-Apr-93,CLEVELAND
,,,,,,Death,6-Aug-96,CLEVELAND
1076,CRYSTAL G,Female,9-Nov-91,1015,1014,Birth/Hatch,9-Nov-91,CRYSTAL G
,,,,,,Death,01/Apr/1993 +/- 1 day,CRYSTAL G
1077,CRYSTAL G,Female,9-Nov-91,1015,1014,Birth/Hatch,9-Nov-91,CRYSTAL G
,,,,,,Death,31/Dec/1995 +/- 15 day,CRYSTAL G
1078,CLEVELAND,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Undetermined
,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,Transfer,Undetermined,USDI
,,,,,,Transfer,21-Feb-91,NY BRONX
,,,,,,Transfer,12-Apr-95,CLEVELAND
,,,,,,Death,29-May-98,CLEVELAND
1079,OMAHA,Female,14-Feb-92,1042,1067,Birth/Hatch,14-Feb-92,HOUSTON
,,,,,,Transfer,30-Aug-94,DUKE PRIM
,,,,,,Transfer,8-Oct-98,OMAHA
,,,,,,Death,8-Jun-05,OMAHA
1080,HOUSTON,Female,14-Feb-92,1042,1067,Birth/Hatch,14-Feb-92,HOUSTON
,,,,,,Death,15-Jun-93,HOUSTON
1081,SANDIEGOZ,Female,29-Feb-92,1057,1060,Birth/Hatch,29-Feb-92,SANDIEGOZ
,,,,,,Death,29-Feb-92,SANDIEGOZ
1082,PAIGNTON,Male,3-Apr-92,1051,1054,Birth/Hatch,3-Apr-92,CHICAGOBR
,,,,,,Transfer,10-Nov-93,PAIGNTON
,,,,,,Death,13-Apr-95,PAIGNTON
1083,WHEELING,Female,8-Aug-92,1041,1040,Birth/Hatch,8-Aug-92,PHILADELP
,,,,,,Transfer,13-Jul-00,WHEELING
,,,,,,Death,19-Aug-01,WHEELING
1084,PHILADELP,Female,8-Aug-92,1041,1040,Birth/Hatch,8-Aug-92,PHILADELP
,,,,,,Death,7-Jun-99,PHILADELP
1085,PHILADELP,Undetermined,8-Aug-92,1041,1040,Birth/Hatch,8-Aug-92,PHILADELP
,,,,,,Death,10-Aug-92,PHILADELP
1086,PHILADELP,Undetermined,8-Aug-92,1041,1040,Birth/Hatch,8-Aug-92,PHILADELP
,,,,,,Death,9-Aug-92,PHILADELP
1087,TAIPEI,Female,Undetermined,UND,UND,Birth/Hatch,Undetermined,Undetermined
,,,,,,Transfer,Undetermined,FERNDALE
,,,,,,Transfer,17-Jan-87,TAIPEI
,,,,,,Death,1-Jul-03,TAIPEI
1088,CLEVELAND,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,Undetermined,USDI
,,,,,,Transfer,22-Sep-93,SEATTLE
,,,,,,Transfer,27-Jun-97,CLEVELAND
,,,,,,Death,9-Aug-08,CLEVELAND
1089,SANDIEGOZ,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
