ID,Current_Location,Current Local ID,Sex,Sire,Dam,Age,Event_Type,Date,Location,Local ID
1125,SOUTHBEND,34134,Male,1017,2869,"7Y,8M,24D",Birth/Hatch,5-Aug-14,NY BRONX,E14050
,,,,,,,Transfer,19-Nov-15,SOUTHBEND,34134
1142,ST LOUIS,117727,Female,977,985,"7Y,0M,25D",Birth/Hatch,4-Apr-15,ST LOUIS,117727
,,,,,,,Transfer,23-Jun-15,WCSRC,201505
,,,,,,,Transfer,27-Oct-15,ST LOUIS,117727
2936,ST LOUIS,125477,Male,2918,1068,"4Y,1M,22D",Birth/Hatch,7-Mar-18,ATTLEBORO,118418
,,,,,,,Transfer,16-Nov-18,NEW BEDFO,2170
,,,,,,,Transfer,4-Mar-20,ST LOUIS,125477
1065,STATEN IS,12008,Male,UND,UND,"10Y,2M,25D",Birth/Hatch,4-Feb-12,FOREST PA,UNK
,,,,,,,Transfer,26-Apr-12,STATEN IS,12008
1040,STATEN IS,13035,Male,960,1007,"10Y,1M,26D",Birth/Hatch,3-Mar-12,DREHER PA,212031
,,,,,,,Transfer,10-Oct-13,STATEN IS,13035
2004,SYRACUSE,M18013,Female,897,2871,"8Y,11M,4D",Birth/Hatch,25-May-13,PALM DES,413017
,,,,,,,Transfer,19-Feb-14,KANSASCTY,M14004
,,,,,,,Transfer,28-Feb-18,SYRACUSE,M18013
2918,SYRACUSE,M19154,Male,981,1109,"6Y,1M,6D",Birth/Hatch,23-Mar-16,ST LOUIS,119504
,,,,,,,Transfer,9-Nov-16,ATTLEBORO,116397
,,,,,,,Transfer,7-Nov-19,SYRACUSE,M19154
,,,,,,,,,,
2942,TAUTPHAUS,19M007,Male,UND,UND,"10Y,7M,19D",Birth/Hatch,10-Sep-11,DIVIDE,77800
,,,,,,,Transfer,13-Jul-19,TAUTPHAUS,19M007
2951,TAUTPHAUS,22M010,Female,UND,UND,"3Y,9M,27D",Birth/Hatch,"~ from Jan 01, 2018 to Dec
31, 2018",Undetermined,-
,,,,,,,Transfer,27-Jul-20,PORTLAND,C00047
,,,,,,,Transfer,21-Apr-22,TAUTPHAUS,22M010
1092,TULSA,18310,Male,981,982,"9Y,0M,22D",Birth/Hatch,7-Apr-13,ST LOUIS,113755
,,,,,,,Transfer,20-Feb-14,ASHEBORO,2009
,,,,,,,Transfer,2-May-19,TULSA,18310
1099,TULSA,18538,Female,960,1007,"8Y,11M,4D",Birth/Hatch,25-May-13,DREHER PA,213022
,,,,,,,Transfer,10-Apr-14,ST LOUIS,116205
,,,,,,,Transfer,5-Jan-21,TULSA,18538
1091,TULSA,18309,Male,981,982,"9Y,0M,22D",Birth/Hatch,7-Apr-13,ST LOUIS,113754
,,,,,,,Transfer,20-Feb-14,ASHEBORO,2008
,,,,,,,Transfer,2-May-19,TULSA,18309
1141,WCSRC,201504,Female,977,985,"7Y,0M,25D",Birth/Hatch,4-Apr-15,ST LOUIS,117726
,,,,,,,Transfer,18-Jun-15,WCSRC,201504
1154,WILDCARE,21-2225,Female,UND,UND,"1Y,9M,28D",Birth/Hatch,"~ from Jan 01, 2020 to Dec
31, 2020",Undetermined,-
,,,,,,,Transfer,"~ from Apr 01, 2021 to
May 31, 2021",WILDCARE,21-2225
1156,WILDCARE,21-2227,Male,UND,UND,"1Y,9M,28D",Birth/Hatch,"~ from Jan 01, 2020 to Dec
31, 2020",Undetermined,-
,,,,,,,Transfer,"~ from Apr 01, 2021 to
May 31, 2021",WILDCARE,21-2227
1153,WILDCARE,21-2224,Male,UND,UND,"1Y,9M,28D",Birth/Hatch,"~ from Jan 01, 2020 to Dec 31, 2020",Undetermined,-
